접수부서,접수완료일시,경찰청,사건상태,사건종별,신고자성별,발생지점,경도,위도,동일사건발생,접수완료일시_연도
대전청,2020-12-01 07:44:36,대전청,종결요청,교통불편,남성,대전광역시 유성구 구암동(행정:온천1동) ,127.331296,36.356493,,2020
대전청,2020-12-01 00:12:30,대전청,종결요청,교통사고,남성,대전광역시 유성구 교촌동(진잠동) 411-1,127.308197,36.308033,Y,2020
충남청,2020-12-01 01:06:14,충남청,종결요청,교통사고,남성,충청남도 천안시 서북구 두정동(행정:부성2동) 886,127.135456,36.832394,,2020
충남청,2020-12-01 01:07:01,충남청,종결요청,음주운전,남성,충청남도 아산시 배방읍 공수리(행정:배방읍) ,127.060483,36.778638,Y,2020
충남청,2020-12-01 00:02:07,충남청,종결요청,음주운전,남성,충청남도 아산시 배방읍 공수리(행정:배방읍) 141-7,127.057063,36.774519,Y,2020
대전청,2020-12-01 00:09:52,충남청,종결요청,교통사고,남성,대전광역시 유성구 교촌동(진잠동) 411-1,127.308197,36.308033,,2020
충남청,2020-12-01 00:11:43,충남청,종결요청,음주운전,남성,충청남도 천안시 동남구 신방동(신방동) 920,127.1280556,36.7877778,,2020
대전청,2020-12-01 00:22:16,대전청,종결요청,교통사고,남성,대전광역시 서구 괴정동(행정:괴정동) 95-28,127.38233711,36.33643738,,2020
충남청,2020-12-01 00:42:28,충남청,종결요청,음주운전,남성,충청남도 아산시 둔포면 석곡리(둔포면) 1371,127.0580556,36.9230556,,2020
충남청,2020-12-01 00:55:19,충남청,종결요청,음주운전,남성,충청남도 아산시 배방읍 장재리(행정:배방읍) 55-21,127.107551,36.792272,,2020
충남청,2020-12-01 00:20:53,세종청,종결요청,음주운전,남성,세종특별자치시 세종시 소담동(소담동) 286-3,127.29887214,36.48910081,,2020
충남청,2020-12-01 00:56:31,충남청,종결요청,음주운전,남성,충청남도 논산시 취암동(행정:취암동) ,127.086652,36.202565,,2020
충남청,2020-12-01 00:57:22,충남청,종결요청,음주운전,남성,충청남도 천안시 서북구 두정동(행정:부성2동) ,127.132976,36.826522,,2020
대전청,2020-12-01 00:00:54,대전청,종결요청,음주운전,남성,대전광역시 서구 복수동(행정:복수동) 475,127.37798199,36.299738,,2020
대전청,2020-12-01 15:05:21,대전청,종결요청,교통사고,남성,대전광역시 중구 문화동(문화1동) 6,127.41350399,36.31708781,,2020
대전청,2020-12-01 15:03:46,대전청,종결요청,교통사고,여성,대전광역시 유성구 복용동(행정:온천1동) 236,127.32038,36.338273,,2020
대전청,2020-12-01 15:09:41,대전청,종결요청,교통사고,남성,대전광역시 동구 용전동(행정:용전동) 171-20,127.43078749,36.3522154,,2020
충남청,2020-12-01 14:20:53,충남청,종결요청,교통사고,남성,충청남도 서산시 석림동(수석동) 553-4,126.466938,36.773198,,2020
충남청,2020-12-01 12:09:25,충남청,종결요청,교통사고,남성,충청남도 천안시 동남구 목천읍 삼성리(행정:목천읍) 9-12,127.180747,36.759819,,2020
대전청,2020-12-01 12:05:12,대전청,종결요청,교통사고,남성,대전광역시 서구 월평동(월평2동) 227,127.37799424,36.36261615,,2020
충남청,2020-12-01 15:02:36,세종청,종결요청,교통위반,불상,세종특별자치시 세종시 한솔동(한솔동) 1045,127.25000659,36.47755491,,2020
충남청,2020-12-01 03:44:07,충남청,종결요청,교통위반,남성,충청남도 천안시 서북구 두정동(행정:부성2동) 886,127.13547583,36.83240979,,2020
충남청,2020-12-01 15:08:49,충남청,종결요청,교통사고,남성,충청남도 논산시 연산면 연산리(연산면) 332,127.21665859,36.21691346,,2020
충남청,2020-12-01 14:31:25,충남청,종결요청,음주운전,남성,충청남도 계룡시 엄사면 엄사리(행정:엄사면) ,127.241666,36.288473,,2020
충남청,2020-12-01 14:34:25,충남청,종결요청,음주운전,남성,충청남도 천안시 동남구 목천읍 응원리(목천읍) 120-2,127.1844444,36.7675,,2020
충남청,2020-12-01 15:08:15,충남청,종결요청,교통사고,남성,충청남도 아산시 둔포면 둔포리(행정:둔포면) 405-16,127.039506,36.928624,,2020
충남청,2020-12-01 14:43:45,충남청,종결요청,교통사고,불상,충청남도 아산시 송악면 거산리 310 신고자 gps,126.98916,36.66597,Y,2020
충남청,2020-12-01 15:00:57,충남청,종결요청,교통사고,남성,충청남도 아산시 송악면 거산리(송악면) 산85-1,126.9838889,36.6555556,Y,2020
충남청,2020-12-01 15:15:36,충남청,종결요청,교통사고,여성,충청남도 서산시 읍내동(행정:부춘동) 102-9,126.45105556,36.77767482,,2020
대전청,2020-12-01 14:53:59,대전청,종결요청,교통불편,남성,대전광역시 서구 내동(행정:내동) 23-45,127.374062,36.333019,,2020
충남청,2020-12-01 14:51:10,충남청,종결요청,교통사고,남성,충청남도 아산시 송악면 거산리(송악면) 312-7,126.98925,36.666763,Y,2020
충남청,2020-12-01 13:08:15,충남청,종결요청,교통사고,남성,충청남도 논산시 화지동(행정:취암동) 107-14,127.083354,36.205558,,2020
충남청,2020-12-01 13:59:55,충남청,종결요청,교통사고,불상,충청남도 보령시 청소면 죽림리 783-7 마동삼거리,126.60712,36.47099,N,2020
충남청,2020-12-01 13:15:50,충남청,종결요청,교통사고,불상,충청남도 천안시 서북구 두정동 526-1 극동늘푸른 113동 앞,127.13235,36.8291,N,2020
충남청,2020-12-01 14:06:16,충남청,종결요청,교통사고,남성,충청남도 논산시 은진면 와야리(행정:은진면) 128-16,127.11397269,36.18116213,,2020
충남청,2020-12-01 13:21:05,충남청,종결요청,교통사고,남성,충청남도 아산시 탕정면 갈산리(탕정면) 309-2,127.068257,36.783932,,2020
충남청,2020-12-01 11:32:00,충남청,종결요청,교통사고,불상,충청남도 아산시 신창면 읍내리 663-28 ,126.92997,36.77199,N,2020
충남청,2020-12-01 11:34:22,충남청,종결요청,교통불편,남성,충청남도 금산군 추부면 신평리(행정:추부면) ,127.504754,36.227509,,2020
충남청,2020-12-01 13:22:45,세종청,종결요청,교통사고,불상,세종특별자치시 조치원읍 원리 13 ,127.30318,36.60151,N,2020
충남청,2020-12-01 11:58:15,충남청,종결요청,교통사고,남성,충청남도 공주시 반포면 온천리(반포면) 385-12,127.26882822,36.3631476,,2020
충남청,2020-12-01 11:57:00,충남청,종결요청,교통사고,여성,충청남도 공주시 반포면 온천리(행정:반포면) ,127.260691,36.37113,,2020
충남청,2020-12-01 11:58:15,충남청,종결요청,교통사고,여성,충청남도 공주시 반포면 공암리(행정:반포면) ,127.253136,36.393044,,2020
충남청,2020-12-01 11:57:55,충남청,종결요청,교통사고,불상,충청남도 공주시 반포면 온천리 436 계룡산조각공원 삼거리 ,127.26064,36.37102,N,2020
충남청,2020-12-01 13:26:12,충남청,종결요청,교통사고,여성,충청남도 아산시 좌부동(행정:온양6동) 84,127.03027,36.75335,,2020
충남청,2020-12-01 12:03:25,충남청,종결요청,교통불편,남성,충청남도 당진시 읍내동(행정:당진1동) 1062,126.638041,36.890137,,2020
대전청,2020-12-01 12:38:01,대전청,종결요청,교통사고,남성,대전광역시 동구 홍도동(행정:홍도동) 13-3,127.429684,36.346885,,2020
대전청,2020-12-01 12:52:18,대전청,종결요청,교통사고,남성,대전광역시 동구 삼성동(행정:삼성동) 479,127.42424,36.34008,Y,2020
대전청,2020-12-01 13:02:11,대전청,종결요청,교통사고,여성,대전광역시 유성구 송강동(행정:구즉동) 49-11,127.38640406,36.43526553,,2020
대전청,2020-12-01 13:04:26,대전청,종결요청,교통사고,여성,대전광역시 대덕구 중리동(중리동) 371-4,127.42737269,36.36677311,,2020
대전청,2020-12-01 13:06:17,대전청,종결요청,교통불편,남성,대전광역시 서구 도안동(가수원동) 164,127.34813618,36.31754047,,2020
대전청,2020-12-01 13:26:17,대전청,종결요청,교통불편,남성,대전광역시 동구 중동(중앙동) 77-1,127.43254521,36.33094975,,2020
2지구대(충남),2020-12-01 10:32:53,충남청,종결요청,교통사고,남성,.,,,,2020
대전청,2020-12-01 13:48:00,대전청,종결요청,교통사고,남성,대전광역시 동구 자양동(행정:자양동) 69-1,127.446925,36.335441,,2020
충남청,2020-12-01 13:37:06,충남청,종결요청,교통사고,남성,충청남도 천안시 서북구 쌍용동(쌍용1동) 1158-1,127.131072,36.802848,,2020
충남청,2020-12-01 10:39:03,충남청,종결요청,교통불편,여성,충청남도 천안시 서북구 쌍용동(행정:쌍용2동) 492-9,127.117756,36.789665,,2020
대전청,2020-12-01 11:21:45,대전청,종결요청,교통사고,남성,대전광역시 서구 괴정동(행정:괴정동) 69-25,127.380247,36.339151,,2020
대전청,2020-12-01 13:58:28,대전청,종결요청,교통사고,남성,대전광역시 서구 둔산동(둔산2동) 950-1,127.38075384,36.35760681,,2020
충남청,2020-12-01 10:43:42,충남청,종결요청,교통불편,남성,충청남도 당진시 송악읍 가학리(송악읍) 631-59,126.6930556,36.9047222,,2020
충남청,2020-12-01 10:45:06,충남청,종결요청,교통사고,남성,충청남도 보령시 청라면 의평리(행정:청라면) 206,126.662161,36.389708,,2020
충남청,2020-12-01 10:45:45,세종청,종결요청,교통사고,남성,세종특별자치시 세종시 조치원읍 상리(조치원읍) 39-6,127.30461149,36.6031339,,2020
대전청,2020-12-01 11:55:05,대전청,종결요청,교통사고,남성,대전광역시 대덕구 평촌동(행정:덕암동) 317-2,127.427815,36.427069,,2020
대전청,2020-12-01 14:09:45,대전청,종결요청,교통사고,남성,대전광역시 동구 자양동(행정:자양동) 84-23,127.44981571,36.33806042,,2020
충남청,2020-12-01 12:42:10,충남청,종결요청,교통사고,불상,충청남도 천안시 서북구 백석동 918 ,127.11782,36.8212,N,2020
충남청,2020-12-01 10:45:56,충남청,종결요청,교통사고,남성,충청남도 아산시 배방읍 갈매리(배방읍) 508,127.08470956,36.76694024,,2020
충남청,2020-12-01 10:48:05,충남청,종결요청,교통사고,불상,충청남도 논산시 은진면 연서리 436 은진사거리에 연무방향 ,127.10317,36.16472,N,2020
대전청,2020-12-01 11:43:09,대전청,종결요청,교통사고,남성,대전광역시 서구 정림동(행정:정림동) 290-1,127.36284,36.29751,,2020
충남청,2020-12-01 13:42:44,충남청,종결요청,교통사고,여성,충청남도 천안시 서북구 직산읍 군서리(행정:직산읍) 428-3,127.143641,36.895319,,2020
충남청,2020-12-01 10:11:10,충남청,종결요청,교통사고,남성,충청남도 태안군 태안읍 동문리(행정:태안읍) 902-14,126.30452,36.74512,,2020
충남청,2020-12-01 10:16:17,충남청,종결요청,음주운전,남성,충청남도 아산시 염치읍 방현리(행정:염치읍) 258-1,127.011613,36.82438,Y,2020
충남청,2020-12-01 10:19:31,충남청,종결요청,교통사고,남성,충청남도 공주시 신관동(신관동) 258-9,127.13766717,36.47423214,,2020
충남청,2020-12-01 13:47:20,충남청,종결요청,교통불편,불상,충청남도 천안시 서북구 쌍용동(쌍용1동) 1157-2,127.13074898,36.80292476,,2020
충남청,2020-12-01 13:48:13,충남청,종결요청,교통사고,남성,충청남도 태안군 태안읍 동문리(행정:태안읍) 901-4,126.30369,36.745526,,2020
충남청,2020-12-01 13:07:38,세종청,종결요청,교통사고,남성,세종특별자치시 세종시 부강면 부강리(행정:부강면) ,127.368902,36.522225,,2020
대전청,2020-12-01 12:28:58,대전청,종결요청,교통사고,여성,대전광역시 서구 관저동(행정:관저2동) 1028,127.335463,36.300361,,2020
대전청,2020-12-01 14:28:47,대전청,종결요청,교통사고,여성,,127.40466276,36.34168467,,2020
대전청,2020-12-01 14:31:59,대전청,종결요청,교통사고,남성,대전광역시 서구 가장동(가장동) 63-8,127.38477264,36.33464181,,2020
충남청,2020-12-01 12:43:09,충남청,종결요청,교통사고,여성,충청남도 아산시 용화동(온양5동) 259-1,126.99617559,36.77676326,,2020
충남청,2020-12-01 12:50:18,충남청,종결요청,교통사고,남성,충청남도 공주시 산성동(행정:웅진동) 186-39,127.123786,36.458536,,2020
충남청,2020-12-01 12:53:10,충남청,종결요청,교통사고,남성,충청남도 서산시 수석동(행정:수석동) 603,126.491923,36.758081,,2020
대전청,2020-12-01 14:47:42,대전청,종결요청,교통사고,남성,대전광역시 유성구 장대동(행정:온천2동) 330-5,127.335804,36.362091,,2020
대전청,2020-12-01 14:48:24,대전청,종결요청,교통사고,여성,대전광역시 유성구 도룡동(행정:신성동) ,127.379569,36.37463,,2020
대전청,2020-12-01 14:10:58,대전청,종결요청,교통사고,남성,대전광역시 서구 탄방동(행정:탄방동) 64-7,127.394815,36.344215,,2020
대전청,2020-12-01 12:25:30,대전청,종결요청,교통사고,여성,대전광역시 중구 문화동(행정:문화2동) 779,127.39591,36.30806,,2020
충남청,2020-12-01 10:07:36,충남청,종결요청,음주운전,남성,충청남도 아산시 권곡동(온양3동) 351-3,127.00883218,36.79542092,Y,2020
대전청,2020-12-01 10:28:37,대전청,종결요청,교통사고,남성,대전광역시 대덕구 대화동(대화동) 35-956 ,127.41333777,36.36617255,,2020
대전청,2020-12-01 10:27:50,대전청,종결요청,교통사고,남성,대전광역시 중구 용두동(행정:용두동) 132-5,127.402845,36.330747,,2020
대전청,2020-12-01 10:28:36,대전청,종결요청,교통위반,남성,대전광역시 유성구 봉명동(행정:온천1동) 444-5,127.33862021,36.35528887,Y,2020
대전청,2020-12-01 10:45:03,대전청,종결요청,교통사고,남성,대전광역시 서구 둔산동(둔산2동) 1515-2,127.37481109,36.3576517,,2020
대전청,2020-12-01 10:51:14,대전청,종결요청,교통사고,여성,대전광역시 대덕구 덕암동(덕암동) 54-15,127.4237369,36.43970851,,2020
대전청,2020-12-01 10:54:00,대전청,종결요청,교통사고,여성,대전광역시 대덕구 읍내동(회덕동) 543-31,127.42,36.3730556,,2020
대전청,2020-12-01 10:56:50,대전청,종결요청,교통위반,여성,,127.40466276,36.34168467,,2020
충남청,2020-12-01 08:33:44,충남청,종결요청,교통사고,남성,충청남도 천안시 동남구 성남면 신사리(행정:성남면) 552-10,127.22992003,36.74392415,Y,2020
충남청,2020-12-01 08:34:13,충남청,종결요청,교통사고,남성,충청남도 천안시 동남구 봉명동(봉명동) 62-458,127.1356386,36.80651691,,2020
충남청,2020-12-01 09:24:45,충남청,종결요청,음주운전,남성,충청남도 당진시 순성면 갈산리(순성면) 228,126.678414,36.869688,,2020
충남청,2020-12-01 09:30:50,충남청,종결요청,교통사고,불상,충청남도 아산시 득산동 302 ,126.96885,36.78687,N,2020
충남청,2020-12-01 09:31:00,충남청,종결요청,교통사고,불상,충청남도 당진시 우강면 창리 376 ,126.7958,36.81897,N,2020
대전청,2020-12-01 09:59:14,대전청,종결요청,교통사고,여성,대전광역시 서구 정림동(정림동) 650,127.36618167,36.30256477,,2020
충남청,2020-12-01 09:10:08,충남청,종결요청,교통사고,남성,충청남도 금산군 금산읍 중도리(금산읍) 188-108,127.49362474,36.1143215,,2020
충남청,2020-12-01 09:05:31,충남청,종결요청,교통사고,남성,충청남도 천안시 서북구 성정동(성정1동) 715-1,127.14191493,36.81557093,,2020
대전청,2020-12-01 08:59:33,대전청,종결요청,교통사고,남성,대전광역시 동구 자양동(행정:자양동) 85-19,127.450805,36.338568,,2020
충남청,2020-12-01 08:56:05,충남청,종결요청,교통불편,남성,충청남도 예산군 덕산면 복당리(행정:덕산면) 344-2,126.588997,36.633658,,2020
충남청,2020-12-01 08:44:10,충남청,종결요청,교통사고,불상,충청남도 당진시 송악읍 기지시리 441-7 ,126.69476,36.89824,N,2020
충남청,2020-12-01 10:05:57,충남청,종결요청,교통사고,남성,충청남도 아산시 음봉면 산동리(행정:음봉면) 230-2,127.107291,36.849253,,2020
대전청,2020-12-01 08:41:01,대전청,종결요청,교통사고,남성,대전광역시 대덕구 오정동(오정동) 44-1,127.40678019,36.35949349,,2020
대전청,2020-12-01 08:25:17,대전청,종결요청,교통사고,남성,대전광역시 서구 도안동(행정:가수원동) 960,127.34108,36.329828,,2020
대전청,2020-12-01 08:27:01,대전청,종결요청,교통불편,남성,대전광역시 서구 둔산동(둔산2동) 1515-2,127.37436481,36.35759392,Y,2020
대전청,2020-12-01 08:28:14,대전청,종결요청,교통위반,불상,대전광역시 유성구 봉명동(행정:온천1동) 553-2,127.341101,36.353966,Y,2020
대전청,2020-12-01 08:30:22,대전청,종결요청,교통사고,남성,대전광역시 서구 둔산동(행정:둔산2동) 1117,127.374866,36.350346,,2020
대전청,2020-12-01 09:55:21,대전청,종결요청,교통사고,남성,대전광역시 동구 가양동(가양2동) 19-1,127.44266732,36.35166478,,2020
충남청,2020-12-01 08:34:26,충남청,종결요청,교통불편,불상,충청남도 공주시 월송동(월송동) 616,127.14894206,36.47304112,,2020
대전청,2020-12-01 10:13:07,대전청,종결요청,교통사고,남성,대전광역시 중구 용두동(행정:용두동) 132-5,127.40283,36.330728,,2020
대전청,2020-12-01 10:14:56,대전청,종결요청,교통사고,남성,대전광역시 대덕구 비래동(비래동) 131-27,127.44987636,36.35857559,,2020
대전청,2020-12-01 08:30:07,대전청,종결요청,교통사고,남성,대전광역시 서구 둔산동(행정:둔산2동) 1116,127.375175,36.35011539,N,2020
대전청,2020-12-01 08:32:05,대전청,종결요청,교통사고,여성,대전광역시 서구 둔산동(둔산2동) 1073,127.3763889,36.3516667,N,2020
대전청,2020-12-01 09:25:32,대전청,종결요청,교통불편,남성,대전광역시 중구 부사동(부사동) 94-35,127.43229112,36.31769691,,2020
대전청,2020-12-01 09:27:16,대전청,종결요청,교통사고,남성,대전광역시 중구 태평동(행정:태평1동) 333-14,127.398315,36.326043,,2020
대전청,2020-12-01 09:31:29,대전청,종결요청,교통사고,남성,대전광역시 서구 둔산동(행정:둔산2동) 1117,127.374848,36.350327,,2020
충남청,2020-12-01 09:00:10,충남청,종결요청,교통사고,불상,충청남도 천안시 서북구 성성동 513 ,127.1166,36.83593,N,2020
대전청,2020-12-01 10:07:08,대전청,종결요청,교통사고,남성,대전광역시 대덕구 오정동(오정동) 산17-37,127.41094881,36.35996732,,2020
대전청,2020-12-01 10:09:34,대전청,종결요청,교통사고,남성,대전광역시 대덕구 송촌동(행정:송촌동) 220-3,127.444555,36.359141,,2020
충남청,2020-12-01 08:30:35,충남청,종결요청,교통사고,불상,충청남도 천안시 동남구 성남면 신사리 552-10 ,127.23009,36.74364,Y,2020
충남청,2020-12-01 09:59:22,충남청,종결요청,교통사고,남성,충청남도 천안시 동남구 봉명동(행정:봉명동) 118-73,127.135723,36.813129,,2020
대전청,2020-12-01 08:54:36,대전청,종결요청,교통불편,남성,대전광역시 서구 만년동(행정:만년동) ,127.369598,36.365298,,2020
충남청,2020-12-01 17:27:30,충남청,종결요청,교통사고,불상,충청남도 당진시 고대면 용두리 산19-2 공설운동장 앞 ,126.59914,36.92391,Y,2020
충남청,2020-12-01 17:29:34,충남청,종결요청,교통사고,남성,충청남도 당진시 읍내동(당진1동) 1060,126.6400859,36.8912254,,2020
충남청,2020-12-01 17:30:15,충남청,종결요청,교통사고,남성,충청남도 당진시 고대면 진관리(고대면) 63-3,126.60876059,36.91173097,Y,2020
충남청,2020-12-01 17:31:17,세종청,종결요청,음주운전,여성,세종특별자치시 세종시 새롬동(새롬동) 287,127.24702244,36.48993951,,2020
충남청,2020-12-01 17:38:59,충남청,종결요청,교통사고,여성,충청남도 천안시 동남구 목천읍 삼성리(목천읍) 83-10,127.17119376,36.75406468,Y,2020
충남청,2020-12-01 17:41:03,충남청,종결요청,교통사고,남성,충청남도 논산시 성동면 화정리(행정:성동면) 454-17,127.041808,36.20927,,2020
대전청,2020-12-01 16:47:16,대전청,종결요청,교통사고,남성,대전광역시 대덕구 비래동(비래동) 113-14,127.44813543,36.35963606,,2020
대전청,2020-12-01 16:55:04,대전청,종결요청,교통사고,여성,대전광역시 서구 월평동(행정:월평1동) 814,127.36519874,36.35500263,,2020
대전청,2020-12-01 17:15:35,대전청,종결요청,교통사고,남성,대전광역시 대덕구 덕암동(행정:덕암동) 45-15,127.42474256,36.44147266,,2020
대전청,2020-12-01 17:38:02,대전청,종결요청,교통사고,여성,대전광역시 동구 용전동(용전동) 76-2,127.44080837,36.35186186,,2020
대전청,2020-12-01 17:32:05,대전청,종결요청,교통불편,남성,대전광역시 중구 중촌동(행정:중촌동) 253-3,127.404556,36.34169,,2020
충남청,2020-12-01 12:21:09,세종청,종결요청,교통사고,남성,세종특별자치시 세종시 소정면 고등리(행정:소정면) ,127.194694,36.717396,,2020
대전청,2020-12-01 15:24:26,대전청,종결요청,교통사고,남성,대전광역시 서구 월평동(행정:월평1동) 113-6,127.35295,36.346866,,2020
대전청,2020-12-01 15:22:23,대전청,종결요청,교통위반,불상,대전광역시 대덕구 신탄진동(신탄진동) 18-15,127.435,36.4522222,,2020
대전청,2020-12-01 11:28:30,대전청,종결요청,교통사고,남성,대전광역시 대덕구 송촌동(행정:송촌동) 461-1,127.44151,36.36716,,2020
대전청,2020-12-01 12:33:06,대전청,종결요청,교통사고,여성,대전광역시 유성구 봉명동(행정:온천1동) 440-7,127.341382,36.357405,,2020
대전청,2020-12-01 11:30:59,대전청,종결요청,교통불편,여성,대전광역시 서구 도마동(행정:도마1동) 180-19,127.38449999,36.31107499,,2020
충남청,2020-12-01 12:08:20,충남청,종결요청,교통사고,여성,충청남도 서천군 비인면 성산리(행정:비인면) 413-1,126.626472,36.129543,,2020
충남청,2020-12-01 12:09:17,충남청,종결요청,교통사고,여성,충청남도 서산시 부석면 취평리(부석면) 432-6,126.39233396,36.71820725,,2020
대전청,2020-12-01 11:18:25,대전청,종결요청,교통사고,남성,대전광역시 중구 대사동(행정:대사동) 640,127.414817,36.317304,,2020
충남청,2020-12-01 11:32:24,충남청,종결요청,교통사고,남성,충청남도 천안시 서북구 직산읍 모시리(행정:직산읍) 206-13,127.127165,36.870481,,2020
대전청,2020-12-01 11:05:53,대전청,종결요청,교통사고,남성,대전광역시 유성구 원신흥동(행정:원신흥동) 511,127.34623612,36.34038028,,2020
대전청,2020-12-01 15:19:19,대전청,종결요청,교통사고,남성,대전광역시 유성구 구암동(온천1동) 589-11,127.33252054,36.354748,,2020
충남청,2020-12-01 12:11:28,세종청,종결요청,교통불편,남성,세종특별자치시 세종시 고운동(행정:고운동) 산74,127.241858,36.520474,,2020
충남청,2020-12-01 16:12:02,충남청,종결요청,교통사고,남성,충청남도 논산시 연무읍 안심리(행정:연무읍) 78,127.097735,36.124324,,2020
충남청,2020-12-01 17:00:06,충남청,종결요청,교통사고,여성,충청남도 아산시 읍내동(행정:온양6동) 221-5,127.01722338,36.76182548,,2020
충남청,2020-12-01 16:38:22,충남청,종결요청,교통사고,남성,충청남도 천안시 동남구 병천면 탑원리(병천면) 83,127.3180556,36.7652778,,2020
충남청,2020-12-01 16:51:57,세종청,종결요청,교통사고,남성,세종특별자치시 세종시 종촌동(행정:종촌동) 677,127.246969,36.504865,,2020
충남청,2020-12-01 16:52:31,충남청,종결요청,교통사고,남성,충청남도 천안시 서북구 쌍용동(행정:쌍용2동) 222,127.124505,36.799775,,2020
충남청,2020-12-01 16:53:57,충남청,종결요청,교통불편,남성,충청남도 천안시 동남구 광덕면 대덕리(행정:광덕면) 218-3,127.082456,36.701142,,2020
충남청,2020-12-01 15:24:55,충남청,종결요청,교통사고,여성,충청남도 홍성군 결성면 형산리(행정:결성면) 580,126.574624,36.590306,,2020
대전청,2020-12-01 15:43:09,대전청,종결요청,교통불편,남성,대전광역시 동구 성남동(행정:성남동) 502-1,127.433853,36.34773999,,2020
충남청,2020-12-01 15:41:04,충남청,종결요청,교통사고,남성,충청남도 천안시 서북구 쌍용동(행정:쌍용3동) 1914,127.12084,36.807,,2020
충남청,2020-12-01 15:45:59,충남청,종결요청,교통불편,남성,충청남도 공주시 탄천면 삼각리(탄천면) 9-7,127.04666183,36.33589396,,2020
대전청,2020-12-01 16:16:14,대전청,종결요청,교통불편,남성,대전광역시 중구 태평동(태평2동) 284-6,127.39837766,36.33374337,,2020
대전청,2020-12-01 16:19:21,대전청,종결요청,교통불편,남성,대전광역시 서구 둔산동(둔산3동) 1814,127.39671969,36.35127412,,2020
충남청,2020-12-01 15:52:04,충남청,종결요청,교통사고,남성,충청남도 천안시 서북구 성성동(부성2동) 696,127.13191464,36.84277468,,2020
충남청,2020-12-01 16:00:13,충남청,종결요청,교통불편,남성,충청남도 아산시 송악면 역촌리(행정:송악면) 54-1,127.011749,36.731959,,2020
충남청,2020-12-01 06:52:25,충남청,종결요청,교통사고,불상,충청남도 홍성군 광천읍 벽계리 10-1 ,126.63105,36.53619,N,2020
충남청,2020-12-01 07:21:52,세종청,종결요청,교통불편,여성,세종특별자치시 세종시 소담동(행정:소담동) ,127.308158,36.48009,,2020
대전청,2020-12-01 10:58:33,대전청,종결요청,교통사고,남성,대전광역시 유성구 장대동(온천2동) 211-9,127.33164566,36.35804179,,2020
대전청,2020-12-01 11:00:23,대전청,종결요청,교통위반,남성,대전광역시 유성구 봉명동(온천1동) 528,127.33918105,36.35452526,,2020
대전청,2020-12-01 11:00:27,대전청,종결요청,교통사고,남성,대전광역시 중구 태평동(태평2동) 422-7,127.38806,36.318805,,2020
